name_lower	name	canonical	known_chain	count
el ciervo	El Ciervo			7
бгу	БГУ			7
temple park	Temple Park			7
neposkvrněného početí panny marie	Neposkvrněného početí Panny Marie			7
hope post office	Hope Post Office			7
all nations church	All Nations Church			7
fiesta mart	Fiesta Mart			7
wanzl	Wanzl			7
ж.д. вокзал	Ж.д. вокзал			7
"zakład mięsny ""podlasie"""	"Zakład Mięsny ""Podlasie"""			7
westtor	Westtor			7
bar pasticceria	Bar Pasticceria			7
smpn 3 bajeng bone	SMPN 3 Bajeng Bone			7
christ the king chapel	Christ the King Chapel			7
tonos y colores	Tonos y Colores			7
polo norte	Polo Norte			7
igreja do bom jesus	Igreja do Bom Jesus			7
山手幼稚園	山手幼稚園			7
pathways	Pathways			7
indian hill elementary school	Indian Hill Elementary School			7
cour	Cour			7
wesleyan methodist chapel	Wesleyan Methodist Chapel			7
базилик	Базилик			7
brick school (historical)	Brick School (historical)			7
colégio tiradentes	Colégio Tiradentes			7
san agustin barangay hall	San Agustin Barangay Hall			7
samolot	Samolot			7
chair lift	Chair Lift			7
devon house	Devon House			7
sai mandir	Sai Mandir			7
taybarns	Taybarns			7
ダックス	ダックス			7
plaza el carmen	Plaza El Carmen			7
a 3	A 3			7
aquafit	aquaFit			7
agirre	Agirre			7
the cornerhouse	The Cornerhouse			7
costayaco	Costayaco			7
samsung shop	Samsung Shop			7
tide	Tide			7
malzfabrik	Malzfabrik			7
transfiguration church	Transfiguration Church			7
maison de la femme	Maison de la Femme			7
la tropicana	La Tropicana			7
751	751			7
754	754			7
1901	1901			7
siman	Siman			7
casa toscana	Casa Toscana			7
諏訪保育園	諏訪保育園			7
groupe scolaire des chêneries	Groupe scolaire des Chêneries			7
smkn 1 sampang	SMKN 1 Sampang			7
강화희망병원 (ganghwahuimang hospital)	강화희망병원 (Ganghwahuimang Hospital)			7
zimmerei	Zimmerei			7
family foods	Family Foods			7
atlantic mine	Atlantic Mine			7
gas-verdichterstation	Gas-Verdichterstation			7
mount liberty church	Mount Liberty Church			7
control building	Control Building			7
bp fuel	BP Fuel			7
narození svatého jana křtitele	Narození svatého Jana Křtitele			7
чуркино	Чуркино			7
white plains baptist church	White Plains Baptist Church			7
bancapulia	Bancapulia			7
hoyt arboretum	Hoyt Arboretum			7
isolato 392a	Isolato 392A			7
kneaders bakery & cafe	Kneaders Bakery & Cafe			7
mutschlechner	Mutschlechner			7
das radhaus	Das Radhaus			7
детский сад № 125	Детский сад № 125			7
детский сад № 126	Детский сад № 126			7
детский сад № 120	Детский сад № 120			7
детский сад № 122	Детский сад № 122			7
grimes school	Grimes School			7
uci	UCI			7
sprout's	Sprout's			7
floreal	Floreal			7
župnišče	Župnišče			7
jva	JVA			7
dog and gun	Dog and Gun			7
stones throw	Stones Throw			7
embajada de colombia	Embajada de Colombia			7
la universal	La Universal			7
foster	Foster			7
campanula	Campanula			7
annunciation catholic church	Annunciation Catholic Church			7
embassy of norway	Embassy of Norway			7
pizza&pasta	Pizza&Pasta			7
saigon restaurant	Saigon Restaurant			7
047	047			7
b'nai israel cemetery	B'Nai Israel Cemetery			7
光華國小	光華國小			7
практическая магия	Практическая магия			7
car wash center	Car Wash Center			7
blok 6	Blok 6			7
townhouse apartments	Townhouse apartments			7
krakatoa	Krakatoa			7
drei kreuze	Drei Kreuze			7
el gallego	El Gallego			7
madhuloka	Madhuloka			7
forrest cemetery	Forrest Cemetery			7
sunrise hotel	Sunrise Hotel			7
sprenger	Sprenger			7
le sabaudia	Le Sabaudia			7
victory elementary school	Victory Elementary School			7
mount pleasant cemetary	Mount Pleasant Cemetary			7
van horn park	Van Horn Park			7
havanautos	Havanautos			7
little cove greenway	Little Cove Greenway			7
plaza bella	Plaza Bella			7
hotel wisata	Hotel Wisata			7
colher de pau	Colher de Pau			7
東光ストア	東光ストア			7
cambria	Cambria			7
書院	書院			7
chadwick's	Chadwick's			7
hunter building	Hunter Building			7
plaisir	Plaisir			7
surf club	Surf Club			7
chances	Chances			7
ネッツトヨタ浜松	ネッツトヨタ浜松			7
ansal plaza	Ansal Plaza			7
marina house	Marina House			7
la pera	La Pera			7
nuevo mexico	Nuevo Mexico			7
faith temple baptist church	Faith Temple Baptist Church			7
india haus	India Haus			7
saint andrew school	Saint Andrew School			7
лицей №11	Лицей №11			7
hangar 8	Hangar 8			7
sv. jurij	Sv. Jurij			7
asian delight	Asian Delight			7
kolam ikan	Kolam ikan			7
скульптура діви марії	Скульптура Діви Марії			7
climbing wall	Climbing Wall			7
rasenspielfeld	Rasenspielfeld			7
средняя школа №34	Средняя школа №34			7
century mine	Century Mine			7
автостарт	Автостарт			7
рыболовная база	Рыболовная база			7
children playground	Children playground			7
canelle	Canelle			7
noah cemetery	Noah Cemetery			7
goodwil	Goodwil			7
cem moufdi zakaria	CEM Moufdi Zakaria			7
imbiß	Imbiß			7
palmer post office	Palmer Post Office			7
shanthi sagar	Shanthi Sagar			7
biomaris	Biomaris			7
무안경찰서 (muan police station)	무안경찰서 (Muan Police Station)			7
knjižnica	Knjižnica			7
cafe de la gare	Cafe de la Gare			7
kindergarten 1	Kindergarten 1			7
пес и кот	Пес и кот			7
ленину в. и.	Ленину В. И.			7
a座 tower a	A座 Tower A			7
metallbau	Metallbau			7
haus der schönheit	Haus der Schönheit			7
utah mine	Utah Mine			7
m-pesa and tigo pesa	M-Pesa and TIGO PESA			7
елегант	Елегант			7
galler	Galler			7
igreja nossa senhora da saúde	Igreja Nossa Senhora da Saúde			7
goadsby	Goadsby			7
la vaca	La Vaca			7
türkisches generalkonsulat	Türkisches Generalkonsulat			7
市立三田小学校	市立三田小学校			7
茶室	茶室			7
현대자동차	현대자동차			7
mr. döner	Mr. Döner			7
e14	E14			7
café rey	Café Rey			7
centro de especialidades médicas	Centro de Especialidades Médicas			7
frank b lowden homes	Frank B Lowden Homes			7
sb-restaurant	SB-Restaurant			7
#3 green	#3 green			7
rumah rusak	RUMAH RUSAK			7
l'atelier des pains	L'Atelier des Pains			7
broad river church	Broad River Church			7
南校舎	南校舎			7
zeldenrust	Zeldenrust			7
детская районная библиотека	Детская районная библиотека			7
rayan	Rayan			7
le manhattan	Le Manhattan			7
veterinární klinika	Veterinární klinika			7
schloss-cafe	Schloss-Cafe			7
musholla nurul yaqin	Musholla Nurul Yaqin			7
богдан	Богдан			7
succes	Succes			7
بیمارستان سینا	بیمارستان سینا			7
berean christian school	Berean Christian School			7
ecole mixte tes'nv	Ecole mixte tes'nv			7
임페리얼모텔 (imperieol motel)	임페리얼모텔 (Imperieol Motel)			7
co-op daily	Co-op Daily			7
ほくしんクリーニング	ほくしんクリーニング			7
空地	空地			7
holy cross primary school	Holy Cross Primary School			7
銀座コージーコーナー	銀座コージーコーナー			7
stampfl	Stampfl			7
zumba	Zumba			7
cuplé	Cuplé			7
sint-janskerk	Sint-Janskerk			7
ほかほか弁当	ほかほか弁当			7
le bonheur	Le Bonheur			7
spitalul cfr	Spitalul CFR			7
lueg	Lueg			7
st mary the virgin church	St Mary the Virgin Church			7
早安美芝城	早安美芝城			7
százszorszép óvoda	Százszorszép Óvoda			7
la tour de pizz	La Tour de Pizz			7
klement	Klement			7
casa 13	Casa 13			7
alte mülldeponie	Alte Mülldeponie			7
markhams	Markhams			7
karben	Karben			7
struwelpeter	Struwelpeter			7
la tradition	La Tradition			7
comedor escolar	Comedor Escolar			7
4th tee	4th Tee			7
sekolah kebangsaan bandar uda 2	Sekolah Kebangsaan Bandar Uda 2			7
farmington post office	Farmington Post Office			7
행복한마트 (haengbokhan mart)	행복한마트 (Haengbokhan Mart)			7
ancienne poste	Ancienne Poste			7
поселковая администрация	Поселковая Администрация			7
möbel mahler	Möbel Mahler			7
castle fine art	Castle Fine Art			7
dragon express	Dragon Express			7
psd-bank	PSD-Bank			7
biserica unitariană	Biserica Unitariană			7
taka	Taka			7
acf	ACF			7
acm	ACM			7
alvear	Alvear			7
occidente	Occidente			7
willems	Willems			7
市立富岡小学校	市立富岡小学校			7
siri	Siri			7
saint mary magdalen school	Saint Mary Magdalen School			7
izba skarbowa	Izba Skarbowa			7
victoria tavern	Victoria Tavern			7
김천경찰서 (gimcheon police station)	김천경찰서 (Gimcheon Police Station)			7
почтовое отделение №48	Почтовое отделение №48			7
почтовое отделение №49	Почтовое отделение №49			7
cunningham house	Cunningham House			7
ceragem	Ceragem			7
backhaus siemer	Backhaus Siemer			7
possible evacuation center	Possible evacuation center			7
