name_lower	name	canonical	known_chain	count
volksbank geest	Volksbank Geest			5
freeman school (historical)	Freeman School (historical)			5
sant'apollinare	Sant'Apollinare			5
бараки	Бараки			5
woodland garden	Woodland Garden			5
ermita de la piedad	Ermita de la Piedad			5
t-market	T-Market			5
euro giant	Euro Giant			5
лъки	Лъки			5
maison roger	Maison Roger			5
погр.	погр.			5
las cabanas	Las Cabanas			5
martinusschule	Martinusschule			5
청솔마트 (cheongsol mart)	청솔마트 (Cheongsol Mart)			5
peter's place	Peter's Place			5
авто+	Авто+			5
world buffet	World Buffet			5
burger & lobster	Burger & Lobster			5
nike park	Nike Park			5
chevron food mart	Chevron Food Mart			5
grove park elementary school	Grove Park Elementary School			5
istituto vendite giudiziarie	Istituto Vendite Giudiziarie			5
apostelamt jesu christi	Apostelamt Jesu Christi			5
cinema odeon	Cinema Odeon			5
wildlife refuge	Wildlife Refuge			5
宮内保育園	宮内保育園			5
čerpacia stanica	Čerpacia stanica			5
williamsburg church	Williamsburg Church			5
olive trees	Olive Trees			5
heckhof	Heckhof			5
giorgi	Giorgi			5
outdoor zentrum lahntal	Outdoor Zentrum Lahntal			5
siège apc	Siège APC			5
sadia	Sadia			5
dixie baptist church	Dixie Baptist Church			5
shannon elementary school	Shannon Elementary School			5
sbt bank	SBT Bank			5
gilmours	Gilmours			5
kurz oder lang	Kurz oder Lang			5
zf sachs a.s.	ZF Sachs a.s.			5
bar des arcades	Bar des Arcades			5
berkshire elementary school	Berkshire Elementary School			5
cnu apartments	CNU Apartments			5
fashion cleaners	Fashion Cleaners			5
экономь	Экономь			5
the plunge	The Plunge			5
stormyrkoia	Stormyrkoia			5
westside pizza	Westside Pizza			5
cycle shop	Cycle Shop			5
bl. m17	Bl. M17			5
padd	Padd			5
unia	Unia			5
kolkrabe	Kolkrabe			5
northridge school	Northridge School			5
学生寮	学生寮			5
résidence des arts	Résidence des Arts			5
andora	Andora			5
hyde	Hyde			5
699	699			5
cate cemetery	Cate Cemetery			5
flak-fundament	Flak-Fundament			5
tony's barbers	Tony's Barbers			5
mater hospital	Mater Hospital			5
le corto	Le Corto			5
alt athen	Alt Athen			5
kitchen stuff plus	Kitchen Stuff Plus			5
przychodnia nr 1	Przychodnia nr 1			5
toppen	Toppen			5
hanna andersson	Hanna Andersson			5
china bar	China Bar			5
block 20	Block 20			5
stabbur	Stabbur			5
parque nacional cabo de hornos	Parque Nacional Cabo de Hornos			5
amber ridge	Amber Ridge			5
cassa rurale valle dei laghi	Cassa Rurale Valle dei Laghi			5
共同ビル	共同ビル			5
estación terminal de omnibus	Estación Terminal de Omnibus			5
曳舟川親水公園	曳舟川親水公園			5
panda chinese	Panda Chinese			5
tanatori municipal	Tanatori Municipal			5
costa's	Costa's			5
