name_lower	name	canonical	known_chain	count
edeka nah und gut	Edeka Nah und Gut			9
gasthof zur alten post	Gasthof zur alten Post			9
carpenter hall	Carpenter Hall			9
kenwood park	Kenwood Park			9
linares	Linares			9
kantor pu	Kantor PU			9
salewa	Salewa			9
l'oliveraie	L'Oliveraie			9
sand- und fettfang	Sand- und Fettfang			9
paz	Paz			9
drill hall	Drill Hall			9
city pool	City Pool			9
joy primary school	Joy Primary School			9
中華郵政	中華郵政			9
eleganza	Eleganza			9
a louer	A louer			9
liberty methodist church	Liberty Methodist Church			9
victoria lodge	Victoria Lodge			9
solarkraftwerk	Solarkraftwerk			9
chiara	Chiara			9
église saint-wandrille	Église Saint-Wandrille			9
warmwalzwerk	Warmwalzwerk			9
校舍	校舍			9
st. quirinus	St. Quirinus			9
adela	Adela			9
cabanon	Cabanon			9
hot pizza	Hot Pizza			9
ölberg	Ölberg			9
church of the blessed sacrament	Church of the Blessed Sacrament			9
osh	OSH			9
flying m ranch airport	Flying M Ranch Airport			9
the bowl	The Bowl			9
davis church	Davis Church			9
gray school (historical)	Gray School (historical)			9
première moisson	Première Moisson			9
mobility	Mobility			9
villa d'este	Villa d'Este			9
greater macedonia baptist church	Greater Macedonia Baptist Church			9
bampfylde place	Bampfylde Place			9
impressions	Impressions			9
brunnenfassung	Brunnenfassung			9
sint-andreaskerk	Sint-Andreaskerk			9
jupiter cykler	Jupiter Cykler			9
ptaki wodne	Ptaki Wodne			9
rifle pit	Rifle Pit			9
locksmith	Locksmith			9
centro esportivo	Centro Esportivo			9
rybářské potřeby	Rybářské potřeby			9
bordaxuria	Bordaxuria			9
lazeez	Lazeez			9
priceline	Priceline			9
onnela	Onnela			9
glenwood	Glenwood			9
순창농협 (sunchang nonghyup)	순창농협 (Sunchang Nonghyup)			9
paul-gerhard-haus	Paul-Gerhard-Haus			9
gs agri	GS Agri			9
lancia	Lancia			9
el albero	El Albero			9
welcome baptist church	Welcome Baptist Church			9
이마트	이마트			9
gethsemane church of god in christ	Gethsemane Church of God in Christ			9
ugi's	Ugi's			9
colegio los robles	Colegio Los Robles			9
lancang garam rusak	LANCANG GARAM RUSAK			9
دير مار سركيس	دير مار سركيس			9
big bear	Big Bear			9
desco	Desco			9
kredens	Kredens			9
trampeltiere	Trampeltiere			9
東部保育園	東部保育園			9
bossini	Bossini			9
dr. schneider	Dr. Schneider			9
тайфун	Тайфун			9
agility	Agility			9
science lab	Science Lab			9
十八番	十八番			9
sc	SC			9
sg	SG			9
μητρόπολη	Μητρόπολη			9
plantación forestal	Plantación Forestal			9
ocean park	Ocean Park			9
chiesa di san gregorio magno	Chiesa di San Gregorio Magno			9
gibson school	Gibson School			9
wells chapel	Wells Chapel			9
memorial arch	Memorial Arch			9
bone cemetery	Bone Cemetery			9
palmetto school (historical)	Palmetto School (historical)			9
(의료법인)경훈의료재단 (( uiryobeopin ) gyeonghunuiryojaedan)	(의료법인)경훈의료재단 (( Uiryobeopin ) Gyeonghunuiryojaedan)			9
decora	Decora			9
ремонт часов	Ремонт часов			9
walkers	Walkers			9
chana high school	Chana High School			9
пять звезд	Пять звезд			9
great eastern	Great Eastern			9
zigzag	Zigzag			9
亀屋万年堂	亀屋万年堂			9
san isidro labrador chapel	San Isidro Labrador Chapel			9
алешково	Алешково			9
администрация сельсовета	Администрация сельсовета			9
bank millennium	Bank Millennium			9
river oaks	River Oaks			9
odden	Odden			9
kondorfa (alvég)	Kondorfa (Alvég)			9
timo	Timo			9
old pleasant hill cemetery	Old Pleasant Hill Cemetery			9
enbw	EnBW			9
religious society of friends	Religious Society of Friends			9
the victoria hotel	The Victoria Hotel			9
sägerei	Sägerei			9
carpark	Carpark			9
сабантуй	Сабантуй			9
szkoła podstawowa im. mikołaja kopernika	Szkoła Podstawowa im. Mikołaja Kopernika			9
san remigio	San Remigio			9
fairfield elementary school	Fairfield Elementary School			9
ott	Ott			9
ижкомбанк	Ижкомбанк			9
florence park	Florence Park			9
banque kolb	Banque Kolb			9
dix	Dix			9
市立田原小学校	市立田原小学校			9
citizens cemetery	Citizens Cemetery			9
rötelberg	Rötelberg			9
sainte-thérèse	Sainte-Thérèse			9
sse	SSE			9
pizza top	Pizza Top			9
drogerie rossmann	Drogerie Rossmann			9
mjenjačnica	Mjenjačnica			9
школа №119	Школа №119			9
36а	36А			9
decatlon	Decatlon			9
ош вук караџић	ОШ Вук Караџић			9
b05	B05			9
sunset house	Sunset House			9
san zenone	San Zenone			9
salisbury house	Salisbury House			9
noel	Noel			9
svatý petr	svatý Petr			9
evangelische stadtmission	Evangelische Stadtmission			9
decker	Decker			9
katana	Katana			9
chiesa di santa cristina	Chiesa di Santa Cristina			9
gmt	GMT			9
beth jacob synagogue	Beth Jacob Synagogue			9
capitec bank	Capitec Bank			9
security national bank	Security National Bank			9
tribúna	Tribúna			9
côté nature	Côté Nature			9
новосибирская шоколадная фабрика	Новосибирская шоколадная фабрика			9
reitschule	Reitschule			9
hrad	Hrad			9
jour de fête	Jour de Fête			9
bouton d'or	Bouton d'Or			9
webasto	Webasto			9
mezzanine	Mezzanine			9
walden	Walden			9
nieves	Nieves			9
de kring	De Kring			9
pine street park	Pine Street Park			9
boyd park	Boyd Park			9
sligro	Sligro			9
royal exchange	Royal Exchange			9
siebenten-tags-adventisten	Siebenten-Tags-Adventisten			9
rijkswaterstaat	Rijkswaterstaat			9
hubertus-apotheke	Hubertus-Apotheke			9
中央区役所	中央区役所			9
оберіг	Оберіг			9
saul rodiles	Saul Rodiles			9
welkom	Welkom			9
gonzalo chapela y blanco	Gonzalo Chapela Y Blanco			9
molinars	Molinars			9
farmacia comunale	Farmacia Comunale			9
garmond press	Garmond Press			9
san roque parish church	San Roque Parish Church			9
il cigno	Il Cigno			9
dugan cemetery	Dugan Cemetery			9
le vieux logis	Le Vieux Logis			9
briqueterie	Briqueterie			9
липецккомбанк	ЛипецкКомБанк			9
new jerusalem church of god in christ	New Jerusalem Church of God in Christ			9
la maria	La Maria			9
philippuskirche	Philippuskirche			9
open court	Open Court			9
lieblingsstücke	Lieblingsstücke			9
pacífico	Pacífico			9
edo sushi	Edo Sushi			9
атамекен	Атамекен			9
us social security administration	US Social Security Administration			9
해변횟집 (haebyeon fish restaurant)	해변횟집 (Haebyeon Fish Restaurant)			9
passione	Passione			9
lassiter cemetery	Lassiter Cemetery			9
hotel astor	Hotel Astor			9
중앙할인마트 (jungang retail shop)	중앙할인마트 (Jungang Retail Shop)			9
cutty sark	Cutty Sark			9
leonardo's	Leonardo's			9
