name_lower	name	canonical	known_chain	count
ხელოვნების სკოლა (art school)	ხელოვნების სკოლა (Art School)			6
résidence les sapins	Résidence Les Sapins			6
outdoor gym equipment	Outdoor gym equipment			6
daily grind	Daily Grind			6
firmin	Firmin			6
реабилитационный центр для детей и подростков с ограниченными возможностями	Реабилитационный центр для детей и подростков с ограниченными возможностями			6
newcastle protection services	Newcastle Protection Services			6
larosa’s pizzeria	LaRosa’s Pizzeria			6
orange business services	Orange Business Services			6
feijenoord	Feijenoord			6
filmset	Filmset			6
kupferdächle	Kupferdächle			6
peterson	Peterson			6
مینی مارکت	مینی مارکت			6
v-oil	V-Oil			6
coca	Coca			6
aire de service bouznika	Aire de service Bouznika			6
puits n° 6 bis	Puits n° 6 bis			6
le ruisseau	Le Ruisseau			6
pinnacle mine	Pinnacle Mine			6
that's amore	That's Amore			6
saint alphonsus roman catholic church	Saint Alphonsus Roman Catholic Church			6
st james centre	St James Centre			6
kantor dprk aceh tengah	Kantor DPRK Aceh Tengah			6
colin	Colin			6
динопарк	Динопарк			6
paikallisosuuspankki	Paikallisosuuspankki			6
sanitäranlagen	Sanitäranlagen			6
ნინო (nino)	ნინო (Nino)			6
mount pleasant park	Mount Pleasant Park			6
astrid	Astrid			6
mahalaxmi temple	Mahalaxmi Temple			6
elephant car wash	Elephant Car Wash			6
bonnie & clyde	Bonnie & Clyde			6
rolling acres	Rolling Acres			6
plum grove cemetery	Plum Grove Cemetery			6
kassenhaus	Kassenhaus			6
bâtiment 26 - umr moisa umr lameta	bâtiment 26 - UMR Moisa UMR Lameta			6
maria zum guten rat	Maria zum guten Rat			6
elder house	Elder House			6
баркас	Баркас			6
résidence vauban	Résidence Vauban			6
robert bosch ag	Robert BOSCH AG			6
longoni sport	Longoni Sport			6
sportveld	Sportveld			6
crooked creek	Crooked Creek			6
дом №3	Дом №3			6
école saint-jacques	École Saint-Jacques			6
小林医院	小林医院			6
mangas	Mangas			6
pédicure-podologue	Pédicure-Podologue			6
pediatre	Pediatre			6
manchester park	Manchester Park			6
сотовая связь	Сотовая связь			6
sekundarschulhaus	Sekundarschulhaus			6
sukamto	Sukamto			6
peerless tires	Peerless Tires			6
ортк	ОРТК			6
chiesa di san felice	Chiesa di San Felice			6
monument du souvenir	Monument du souvenir			6
la bottega del vino	La Bottega del Vino			6
tremont elementary school	Tremont Elementary School			6
косогор	Косогор			6
おおぞら保育園	おおぞら保育園			6
壱鵠堂	壱鵠堂			6
crystal hill church	Crystal Hill Church			6
fruit	Fruit			6
dry branch church	Dry Branch Church			6
snack stand	Snack Stand			6
hyde school	Hyde School			6
művészetek háza	Művészetek Háza			6
екатерининский	Екатерининский			6
西操场	西操场			6
california elementary school	California Elementary School			6
griggs cemetery	Griggs Cemetery			6
marion city hall	Marion City Hall			6
san francisco de paula	San Francisco de Paula			6
metzgerei maier	Metzgerei Maier			6
charlie's cafe	Charlie's Cafe			6
hugo hirsch	Hugo Hirsch			6
kipp	Kipp			6
rustic hills	Rustic Hills			6
пицца-фабрика	Пицца-фабрика			6
le khédive	Le Khédive			6
academia europea	Academia Europea			6
zum goldenen hahn	Zum Goldenen Hahn			6
ośrodek szkolno-wychowawczy	Ośrodek Szkolno-Wychowawczy			6
pemukiman penduduk	pemukiman penduduk			6
dairy farm	Dairy Farm			6
topcare 2	Topcare 2			6
dynamite games	Dynamite Games			6
леноблбанк	Леноблбанк			6
el comandante	El Comandante			6
к4	К4			6
manzana 37	Manzana 37			6
wissing	Wissing			6
old navy outlet	Old Navy Outlet			6
나	나			6
festi	Festi			6
"магазин ""цветы"""	"Магазин ""Цветы"""			6
дядя дёнер	Дядя Дёнер			6
grm	Grm			6
立正幼稚園	立正幼稚園			6
mini top!	mini top!			6
hein	Hein			6
heim	Heim			6
citygrill	Citygrill			6
martin luther king junior middle school	Martin Luther King Junior Middle School			6
panoramico	Panoramico			6
школьная библиотека	школьная библиотека			6
haus bethesda	Haus Bethesda			6
fast lane	Fast Lane			6
von poll	von Poll			6
кочнево	Кочнево			6
hotel bela vista	Hotel Bela Vista			6
hoosier mine	Hoosier Mine			6
cortrust bank	CorTrust Bank			6
ხარება (khareba)	ხარება (Khareba)			6
авто сервис	Авто сервис			6
ibañez	Ibañez			6
old terminal	Old Terminal			6
henry's bar	Henry's Bar			6
シルバー人材センター	シルバー人材センター			6
saint bartholomews school	Saint Bartholomews School			6
griffith school	Griffith School			6
chiesa maria santissima immacolata	Chiesa Maria Santissima Immacolata			6
schlossplatz	Schlossplatz			6
philippine carabao center	Philippine Carabao Center			6
大神宮	大神宮			6
festival hall	Festival Hall			6
海の星幼稚園	海の星幼稚園			6
cemitério antigo	Cemitério Antigo			6
santo amaro	Santo Amaro			6
teatre municipal	Teatre Municipal			6
green lantern	Green Lantern			6
visel	Visel			6
bl. 33c	bl. 33C			6
little vine cemetery	Little Vine Cemetery			6
soft	Soft			6
monterey county public works	Monterey County Public Works			6
калето	Калето			6
18栋	18栋			6
délice	Délice			6
ezee shop	Ezee Shop			6
スガキヤ	スガキヤ			6
бытовки	Бытовки			6
kc's	KC's			6
esso petrol station	Esso petrol station			6
treff3000	Treff3000			6
hamilton county courthouse	Hamilton County Courthouse			6
king high school	King High School			6
holly ridge church	Holly Ridge Church			6
pusat latihan malaysia airport	Pusat Latihan Malaysia Airport			6
henri iv	Henri IV			6
ofatma	OFATMA			6
saint patricks catholic cemetery	Saint Patricks Catholic Cemetery			6
de watermolen	De Watermolen			6
oud stadhuis	Oud Stadhuis			6
marian high school	Marian High School			6
chiesa sant'anna	Chiesa Sant'Anna			6
torres de quiroga	Torres de Quiroga			6
almen	Almen			6
mckinley	McKinley			6
american fried chicken	American Fried Chicken			6
азс снг	Азс СНГ			6
beddenreus	Beddenreus			6
ferrisariato	Ferrisariato			6
simply local	Simply Local			6
millville cemetery	Millville Cemetery			6
istituto comprensivo statale	Istituto Comprensivo Statale			6
co-op marketplace	Co-op Marketplace			6
المجلس الشعبي البلدي	المجلس الشعبي البلدي			6
le tout va bien	Le tout va bien			6
martienea	Martienea			6
vigie	Vigie			6
přístřešek	Přístřešek			6
appliance world	Appliance World			6
the bay hotel	The Bay Hotel			6
dpd depot	DPD Depot			6
antassawamock dock	Antassawamock Dock			6
pizza délice	Pizza Délice			6
jaenudin	jaenudin			6
flatwoods school (historical)	Flatwoods School (historical)			6
lanvin	Lanvin			6
scuola media alessandro manzoni	Scuola media Alessandro Manzoni			6
la passione	La Passione			6
hotel silver	Hotel Silver			6
하모니마트 (hamoni mart)	하모니마트 (Hamoni Mart)			6
römischer gutshof	Römischer Gutshof			6
hollingsworth cemetery	Hollingsworth Cemetery			6
farmer's store	farmer's store			6
waldo cemetery	Waldo Cemetery			6
tierra santa	Tierra Santa			6
d-bau	D-Bau			6
luginsland	Luginsland			6
grand park hotel	Grand Park Hotel			6
kellner	Kellner			6
midway church of christ	Midway Church of Christ			6
iron horse park	Iron Horse Park			6
collège privé saint-pierre	Collège privé Saint-Pierre			6
lieb	Lieb			6
lien	Lien			6
michellod	Michellod			6
orange hill church	Orange Hill Church			6
arcadia high school	Arcadia High School			6
adult education centre	Adult Education Centre			6
bayad center	Bayad Center			6
fleischerei schröder	Fleischerei Schröder			6
st. thomas of canterbury	St. Thomas of Canterbury			6
іван франко	Іван Франко			6
king house	King House			6
supercei	Supercei			6
planet x	Planet X			6
spomenik palim borcima	Spomenik palim borcima			6
heuriger	Heuriger			6
verkehrskindergarten	Verkehrskindergarten			6
castelinho	Castelinho			6
kleinod	Kleinod			6
the three fishes	The Three Fishes			6
thomaskerk	Thomaskerk			6
safari hotel	Safari Hotel			6
14th hole	14th Hole			6
rebecca church	Rebecca Church			6
cerrina go-kart	Cerrina Go-Kart			6
эллинг	Эллинг			6
phv-dialysezentrum	PHV-Dialysezentrum			6
sv. petra	Sv. Petra			6
camden park	Camden Park			6
сырзавод	Сырзавод			6
distributore metano	Distributore METANO			6
volksbank rems	Volksbank Rems			6
solleveld	Solleveld			6
madison police department	Madison Police Department			6
детский сад №284	Детский сад №284			6
gül kebap	Gül Kebap			6
posto texaco	Posto Texaco			6
taco express	Taco Express			6
борщ	Борщ			6
berberaffen	Berberaffen			6
amart sports	Amart Sports			6
copeval	Copeval			6
new community baptist church	New Community Baptist Church			6
sheriff hall	Sheriff Hall			6
nikolas	Nikolas			6
heidi's	Heidi's			6
st. remigius kirche	St. Remigius Kirche			6
біла церква - київ	Біла Церква - Київ			6
toronyóra	Toronyóra			6
just falafel	Just Falafel			6
parc léo lagrange	Parc Léo Lagrange			6
市立福岡中学校	市立福岡中学校			6
moto land	Moto Land			6
בית הכנסת הגדול	בית הכנסת הגדול			6
maxwell elementary school	Maxwell Elementary School			6
the street	The Street			6
globe theatre	Globe Theatre			6
居心伝	居心伝			6
boulangerie paul	Boulangerie Paul			6
участковые уполномоченные	Участковые уполномоченные			6
steigenberger	Steigenberger			6
u jacka	U Jacka			6
unionville cemetery	Unionville Cemetery			6
60а	60А			6
prince river wildlife management area	Prince River Wildlife Management Area			6
parador maitana	Parador Maitana			6
oro fino mine	Oro Fino Mine			6
altes feuerwehrgerätehaus	Altes Feuerwehrgerätehaus			6
福寿司	福寿司			6
escuela san martin	Escuela San Martin			6
przedszkole nr 24	Przedszkole nr 24			6
przedszkole nr 26	Przedszkole nr 26			6
special	Special			6
сквер ветеранов	Сквер ветеранов			6
