name_lower	name	canonical	known_chain	count
центральное почтовое отделение	Центральное почтовое отделение			6
pear tree cottage	Pear Tree Cottage			6
cedar ridge church	Cedar Ridge Church			6
mount herman baptist church	Mount Herman Baptist Church			6
yayasan miftahul ulum	Yayasan Miftahul Ulum			6
polyone	PolyOne			6
melba	Melba			6
minymas	Minymas			6
deep creek mine	Deep Creek Mine			6
uferlos	Uferlos			6
well field	Well Field			6
viljandi ühendatud kutsekeskkool	Viljandi Ühendatud Kutsekeskkool			6
gradiniță	Gradiniță			6
friary house	Friary House			6
пасіка	Пасіка			6
picerija	Picerija			6
sir donald bailey academy	Sir Donald Bailey Academy			6
maison des parents	Maison des Parents			6
edifício luz do guadiana	Edifício Luz do Guadiana			6
zum hannes	Zum Hannes			6
34-р байр	34-р байр			6
travel agency	Travel Agency			6
lo saldes	Lo Saldes			6
bridge end inn	Bridge End Inn			6
zahra	Zahra			6
haus tanne	Haus Tanne			6
central avenue church of christ	Central Avenue Church of Christ			6
#7 fairway	#7 fairway			6
riki	Riki			6
cuci mobil	Cuci Mobil			6
el potro	El Potro			6
риал	Риал			6
oxbow cemetery	Oxbow Cemetery			6
дитячий садок №5	Дитячий садок №5			6
prima donna	Prima Donna			6
polar bears	Polar Bears			6
oklahoma school	Oklahoma School			6
casa grecque	Casa Grecque			6
norddeutscher hof	Norddeutscher Hof			6
suzana	Suzana			6
north beach	North Beach			6
paramount park	Paramount Park			6
vgh versicherung	VGH Versicherung			6
macsf	MACSF			6
талица	Талица			6
la guardia	La Guardia			6
oakdale baptist church	Oakdale Baptist Church			6
emerald hills east	Emerald Hills East			6
northside cemetery	Northside Cemetery			6
elektro weber	Elektro Weber			6
alte tongrube	alte Tongrube			6
koodza	Koodza			6
schrebergarten	Schrebergarten			6
bundesnachrichtendienst	Bundesnachrichtendienst			6
westerly	Westerly			6
walters	Walters			6
lost creek school	Lost Creek School			6
burgkeller	Burgkeller			6
хүсний дэлгүүр	Хүсний дэлгүүр			6
sayre cemetery	Sayre Cemetery			6
белиссимо	Белиссимо			6
kreisverwaltung teltow-fläming	Kreisverwaltung Teltow-Fläming			6
άγιος χριστόφορος	Άγιος Χριστόφορος			6
we men	WE Men			6
tami	Tami			6
hus 4	Hus 4			6
детский сад №328	Детский сад №328			6
blue market	Blue market			6
よしむら	よしむら			6
школа-интернат №5	Школа-интернат №5			6
gb carrefour	GB Carrefour			6
pireus bank	Pireus Bank			6
mekdep	Mekdep			6
cloister	Cloister			6
timex	Timex			6
мясоед	Мясоед			6
가	가			6
лебединка	Лебединка			6
bowie high school	Bowie High School			6
togocel	Togocel			6
iglesia de ntra. sra. de la encarnación	Iglesia de Ntra. Sra. de la Encarnación			6
township park	Township Park			6
телеком	Телеком			6
clark family cemetery	Clark Family Cemetery			6
ermida de santo antónio	Ermida de Santo António			6
dunham hall	Dunham Hall			6
the family church	The Family Church			6
sparkasse baden	Sparkasse Baden			6
зеркальный	Зеркальный			6
l18	L18			6
l19	L19			6
l15	L15			6
l12	L12			6
best depot	BEST Depot			6
balamban liempo	Balamban Liempo			6
la portella	la Portella			6
каменоломни	Каменоломни			6
san pio	San Pio			6
grosvenor	Grosvenor			6
libby cemetery	Libby Cemetery			6
terrena	Terrena			6
the abbey inn	The Abbey Inn			6
подшипник	Подшипник			6
haus am hang	Haus am Hang			6
praça pio xii	Praça Pio XII			6
vv doetinchem	VV Doetinchem			6
favola	Favola			6
fellows cemetery	Fellows Cemetery			6
südfleisch	Südfleisch			6
petersham state forest	Petersham State Forest			6
greenview park	Greenview Park			6
unit trust corporation	Unit Trust Corporation			6
core cemetery	Core Cemetery			6
住吉公園	住吉公園			6
vopak	Vopak			6
школа № 45	Школа № 45			6
нэск	НЭСК			6
parc félix-leclerc	Parc Félix-Leclerc			6
schwind	Schwind			6
policia rodoviária estadual	Policia Rodoviária Estadual			6
ardeks	Ardeks			6
super cheap	Super Cheap			6
market lukoil	Market Lukoil			6
silver screen	Silver Screen			6
строительный бум	Строительный Бум			6
le rondini	Le Rondini			6
пожарная часть №12	Пожарная часть №12			6
penzion pro seniory	Penzion pro seniory			6
école primaire gambetta	École primaire Gambetta			6
cantiere nautico	Cantiere Nautico			6
massasoit state park	Massasoit State Park			6
цифровой мир	Цифровой мир			6
moonleaf	Moonleaf			6
m183	M183			6
acora	Acora			6
"дк ""строитель"""	"ДК ""Строитель"""			6
école privée sainte-thérèse	École privée Sainte-Thérèse			6
sant' antonio	Sant' Antonio			6
районные электросети	Районные электросети			6
la fromaggeria	La Fromaggeria			6
la suiza	La Suiza			6
unknown ruin	Unknown Ruin			6
lion bar	Lion Bar			6
richmond police station	Richmond Police Station			6
maciuś	Maciuś			6
piekarnia kłos	Piekarnia Kłos			6
amann	Amann			6
pieve di sant'andrea	Pieve di Sant'Andrea			6
すずらん幼稚園	すずらん幼稚園			6
liz cakes	Liz Cakes			6
filiale deutsche post	Filiale Deutsche Post			6
caixa rural galega	Caixa Rural Galega			6
lake forest elementary school	Lake Forest Elementary School			6
김이비인후과의원 (gimibiinhugwa clinic)	김이비인후과의원 (Gimibiinhugwa Clinic)			6
sapphire court	Sapphire Court			6
028	028			6
durham park	Durham Park			6
machado	Machado			6
de duif	De Duif			6
restauracja zamkowa	Restauracja Zamkowa			6
metalac	Metalac			6
midnight	Midnight			6
ristorante la terrazza	Ristorante La Terrazza			6
пивной рай	Пивной рай			6
graves county tennis	Graves County Tennis			6
church's fried chicken	Church's Fried Chicken			6
gémo chaussures	Gémo Chaussures			6
apricot	Apricot			6
empresa brasileira de correios e telégrafos	Empresa Brasileira de Correios e Telégrafos			6
эко-маркет	ЭКО-маркет			6
universiti teknologi mara kampus	Universiti Teknologi Mara Kampus			6
etablissement	Etablissement			6
iglesia de la victoria	Iglesia de la Victoria			6
zespół szkół nr 11	Zespół Szkół nr 11			6
india post	India Post			6
zentrale	Zentrale			6
коровай	Коровай			6
cambrian credit union	Cambrian Credit Union			6
ridruejo	Ridruejo			6
northeast church of christ	Northeast Church of Christ			6
госпиталь ветеранов войн	Госпиталь ветеранов войн			6
guest relations	Guest Relations			6
clarington fields	Clarington Fields			6
o jardim	O Jardim			6
le bivouac	Le Bivouac			6
bäckerei beckmann	Bäckerei Beckmann			6
bärenzwinger	Bärenzwinger			6
holden	Holden			6
bloc v1	Bloc V1			6
taufstein	Taufstein			6
praise tabernacle	Praise Tabernacle			6
parfümerie platen	Parfümerie Platen			6
calvário	Calvário			6
west end united methodist church	West End United Methodist Church			6
visitors' centre	Visitors' Centre			6
tangki pertamina	Tangki Pertamina			6
haus brigitte	Haus Brigitte			6
almar	Almar			6
coffee beans	Coffee Beans			6
intec	Intec			6
platt cemetery	Platt Cemetery			6
céréa	Céréa			6
1300	1300			6
банк авангард	Банк Авангард			6
australia	Australia			6
настёна	Настёна			6
le café des arts	Le Café des Arts			6
les champs	Les Champs			6
freight forward tanzania limited	Freight Forward Tanzania Limited			6
mies	MIES			6
