name_lower	name	canonical	known_chain	count
calimero	Calimero			12
رستوران	رستوران			12
saint gabriels school	Saint Gabriels School			12
ward school (historical)	Ward School (historical)			12
mazet	mazet			12
szolárium	Szolárium			12
commodore	Commodore			12
altenberg	Altenberg			12
municipal school	Municipal School			12
n11	N11			12
константа	Константа			12
saint williams church	Saint Williams Church			12
крыница	Крыница			12
matchbox	Matchbox			12
blue ridge school (historical)	Blue Ridge School (historical)			12
mcgregor college	McGregor College			12
white oak park	White Oak Park			12
brou	BROU			12
embassy of china	Embassy of China			12
корпус	Корпус			12
pavilhão	Pavilhão			12
torrid	Torrid			12
spruce park	Spruce Park			12
seminarhaus	Seminarhaus			12
launderland	Launderland			12
телятник	Телятник			12
трек	Трек			12
планета электроники	Планета Электроники			12
johannes de doper	Johannes de Doper			12
soleil levant	Soleil Levant			12
heidebäckerei meyer	Heidebäckerei Meyer			12
tirol	Tirol			12
iglesia de cristo rey	Iglesia de Cristo Rey			12
dörpshus	Dörpshus			12
asptt	ASPTT			12
tenisová hala	Tenisová hala			12
bell canada	Bell Canada			12
ww2 pillbox	WW2 Pillbox			12
блины	Блины			12
эвелина	Эвелина			12
lincoln post office	Lincoln Post Office			12
daphne's	Daphne's			12
école privée sainte-marie	École Privée Sainte-Marie			12
city house	City House			12
kohl’s	Kohl’s			12
caffé nero	Caffé Nero			12
mza c	Mza C			12
mza a	Mza A			12
drim	Drim			12
masjid nurul ikhlas	Masjid Nurul Ikhlas			12
buchanan elementary school	Buchanan Elementary School			12
bar taurus	Bar Taurus			12
jozita	Jozita			12
elewator	elewator			12
amfiteátr	Amfiteátr			12
hősök tere	Hősök tere			12
caterina	Caterina			12
д.7	д.7			12
д.8	д.8			12
12-р байр	12-р байр			12
エホバの証人の王国会館	エホバの証人の王国会館			12
shawnee park	Shawnee Park			12
red rock	Red Rock			12
sierra cafe	Sierra Cafe			12
maxwell park	Maxwell Park			12
planet sub	Planet Sub			12
westview park	Westview Park			12
eastview baptist church	Eastview Baptist Church			12
сытый папа	Сытый папа			12
rossmann express	Rossmann Express			12
erreka	Erreka			12
mpcs	MPCS			12
franjevački samostan	Franjevački samostan			12
summit lodge	Summit Lodge			12
club nautique	Club Nautique			12
gospel light church	Gospel Light Church			12
goli vada pav	Goli Vada Pav			12
ehrle	Ehrle			12
fischerklause	Fischerklause			12
parfumerie	Parfumerie			12
bacher	Bacher			12
schloßplatz	Schloßplatz			12
little ceasers	Little Ceasers			12
ebenezer howardpark	Ebenezer Howardpark			12
kasino	Kasino			12
warsztat	Warsztat			12
the good intent	The Good Intent			12
grange blanche	Grange Blanche			12
church of god cemetery	Church of God Cemetery			12
jefferson hall	Jefferson Hall			12
k12	K12			12
kirsamer	Kirsamer			12
elkar	Elkar			12
20号楼	20号楼			12
jose gonza�lez torres	Jose Gonza�Lez Torres			12
greenwheels	Greenwheels			12
школьный парк	Школьный парк			12
loyola hall	Loyola Hall			12
kohlenmeiler	Kohlenmeiler			12
морковь	Морковь			12
bergfrieden	Bergfrieden			12
wyższe seminarium duchowne	Wyższe Seminarium Duchowne			12
sk주유소 (sk gas station)	SK주유소 (SK Gas Station)			12
ex scuola elementare	Ex Scuola Elementare			12
ヤマザキ	ヤマザキ			12
1f	1F			12
the courthouse	The Courthouse			12
hadley cemetery	Hadley Cemetery			12
saphir	Saphir			12
capilla de san antonio	Capilla de San Antonio			12
bank pekao s.a.	Bank Pekao S.A.			12
бывший детский сад	Бывший детский сад			12
gospel tabernacle church	Gospel Tabernacle Church			12
9 микрорайон	9 микрорайон			12
erikshjälpen	Erikshjälpen			12
zum weißen roß	Zum weißen Roß			12
juanita	Juanita			12
sklep budowlany	Sklep budowlany			12
taco johns	Taco Johns			12
gondola	Gondola			12
london camera exchange	London Camera Exchange			12
couleur café	Couleur Café			12
市立旭中学校	市立旭中学校			12
san zeno	San Zeno			12
russian embassy	Russian Embassy			12
valley	Valley			12
küsterhaus	Küsterhaus			12
carrefoursa	CarrefourSA			12
opatija	Opatija			12
школа №113	Школа №113			11
sanford cemetery	Sanford Cemetery			11
colegio san ignacio de loyola	Colegio San Ignacio de Loyola			11
t.j.maxx	T.J.Maxx			11
west union school (historical)	West Union School (historical)			11
central tyre	Central Tyre			11
maurice	Maurice			11
foto	Foto			11
terrarium	Terrarium			11
keskuskoulu	Keskuskoulu			11
st. albert	St. Albert			11
сск	ССК			11
paraboot	Paraboot			11
бензин	Бензин			11
