name_lower	name	canonical	known_chain	count
atatürk statue	Atatürk statue			5
bob's burger	Bob's Burger			5
big wheel	Big Wheel			5
ehem. kiesgrube	ehem. Kiesgrube			5
реквием	Реквием			5
twelve oaks	Twelve Oaks			5
東急イン	東急イン			5
bl. 27b	bl. 27b			5
한마음한의원 (hanmaeum oriental medicine clinic)	한마음한의원 (Hanmaeum Oriental Medicine Clinic)			5
св.петка	Св.Петка			5
convento de san agustín	Convento de San Agustín			5
gemeinschaftshalle	Gemeinschaftshalle			5
bassin sportif de natation	Bassin sportif de natation			5
big o tire	Big O Tire			5
обувная мастерская	Обувная мастерская			5
stone island	Stone Island			5
ødegården	Ødegården			5
minería	Minería			5
mont	Mont			5
ryder park	Ryder Park			5
super casino	Super Casino			5
plank cemetery	Plank Cemetery			5
mcgee park	McGee Park			5
icopal	Icopal			5
gradska kafana	Gradska Kafana			5
george & dragon inn	George & Dragon Inn			5
algeco	Algeco			5
plaza benito juarez	Plaza Benito Juarez			5
рулевой	Рулевой			5
mitumba	Mitumba			5
west end presbyterian church	West End Presbyterian Church			5
e-on	E-on			5
wiley hall	Wiley Hall			5
jj colony	JJ Colony			5
greer school	Greer School			5
medoc	Medoc			5
frankenheim	Frankenheim			5
glamour cafe	Glamour Cafe			5
xpression	Xpression			5
bar nico	Bar Nico			5
la boite à outils	La Boite à Outils			5
hauptwerkstatt	Hauptwerkstatt			5
pfarrkirche st. bartholomäus	Pfarrkirche St. Bartholomäus			5
show cut	Show Cut			5
le saint-malo	Le Saint-Malo			5
st. jude	St. Jude			5
interpark	Interpark			5
dow cemetery	Dow Cemetery			5
зеленый мир	Зеленый мир			5
village 2	Village 2			5
audemars piguet	Audemars Piguet			5
village a	Village A			5
village b	Village B			5
delikates	Delikates			5
rice garden	Rice Garden			5
music city	Music City			5
bäckerei kuhn	Bäckerei Kuhn			5
kennedy building	Kennedy Building			5
iglesia de san mamés	Iglesia de San Mamés			5
universidad de valladolid	Universidad de Valladolid			5
germantown post office	Germantown Post Office			5
st augustine's catholic church	St Augustine's Catholic Church			5
eagles park	Eagles Park			5
cellar bar	Cellar Bar			5
royal orchid hotel	Royal Orchid Hotel			5
église saint-sigismond	Église Saint-Sigismond			5
西光院	西光院			5
residential learning community	Residential Learning Community			5
smart cartridge	Smart Cartridge			5
zona libre	Zona Libre			5
shumate cemetery	Shumate Cemetery			5
provincial engineering office	Provincial Engineering Office			5
bessini	Bessini			5
schwartz	Schwartz			5
bauspielplatz	Bauspielplatz			5
bosso	Bosso			5
unbefleckte empfängnis mariens	Unbefleckte Empfängnis Mariens			5
"тс ""петровский"""	"ТС ""Петровский"""			5
